日期,处理水量(m³),电耗(kWh),PAC投加量(kg),PAM投加量(kg),次氯酸钠投加量(kg),进水COD(mg/L),出水COD(mg/L),进水TN(mg/L),出水TN(mg/L)
2020-01-01,9809.0,3621.0,205.0,45.0,112.0,278.6,41.5,44.1,10.9
2020-01-02,9870.0,3330.0,174.0,44.0,113.0,273.6,37.7,46.5,9.5
2020-01-03,9644.0,3291.0,172.0,72.0,111.0,293.1,43.5,50.1,12.6
2020-01-04,9927.0,3352.0,220.0,51.0,114.0,285.1,43.3,47.5,15.0
2020-01-05,10169.0,3764.0,225.0,43.0,117.0,294.4,45.7,52.1,14.4
2020-01-06,10058.0,3577.0,171.0,52.0,116.0,269.5,33.5,47.6,10.8
2020-01-07,10393.0,4013.0,224.0,39.0,120.0,281.9,42.2,52.2,14.6
2020-01-08,10791.0,3910.0,214.0,48.0,125.0,269.9,38.2,47.7,10.0
2020-01-09,10020.0,3766.0,213.0,32.0,116.0,268.9,34.8,46.2,11.4
2020-01-10,10539.0,3762.0,204.0,28.0,122.0,288.7,46.7,47.7,11.3
2020-01-11,10654.0,3526.0,216.0,39.0,124.0,267.2,39.3,49.7,9.5
2020-01-12,10641.0,3800.0,186.0,47.0,124.0,250.0,27.4,45.2,10.3
2020-01-13,10344.0,3612.0,210.0,56.0,121.0,271.8,38.2,46.3,8.1
2020-01-14,10444.0,3763.0,192.0,49.0,122.0,277.7,35.7,50.7,11.3
2020-01-15,10282.0,3756.0,195.0,51.0,120.0,283.7,43.2,46.9,9.9
2020-01-16,10580.0,3582.0,193.0,76.0,124.0,277.2,35.9,49.3,12.2
2020-01-17,10443.0,3972.0,228.0,53.0,123.0,284.7,42.1,46.7,12.0
2020-01-18,10557.0,3313.0,188.0,53.0,124.0,283.3,32.6,50.0,11.4
2020-01-19,10441.0,3818.0,159.0,61.0,123.0,283.6,36.2,45.9,8.8
2020-01-20,10749.0,3823.0,170.0,56.0,127.0,271.3,27.8,46.7,11.7
2020-01-21,10961.0,4259.0,191.0,67.0,129.0,267.0,33.0,50.8,8.6
2020-01-22,10968.0,3581.0,257.0,53.0,130.0,296.5,34.2,46.2,5.9
2020-01-23,10648.0,3662.0,167.0,51.0,126.0,294.7,34.9,43.3,9.7
2020-01-24,10999.0,4009.0,205.0,60.0,130.0,268.3,37.9,45.7,9.7
2020-01-25,10508.0,3671.0,177.0,42.0,125.0,281.4,38.5,41.8,7.1
2020-01-26,11034.0,3847.0,173.0,44.0,131.0,257.5,32.1,44.5,6.4
2020-01-27,11013.0,3692.0,193.0,60.0,131.0,267.7,32.6,44.1,9.5
2020-01-28,10521.0,4223.0,199.0,63.0,125.0,271.0,31.3,46.5,9.1
2020-01-29,10698.0,3344.0,244.0,66.0,127.0,283.4,33.7,44.3,6.0
2020-01-30,10831.0,3957.0,195.0,41.0,129.0,275.6,36.9,43.0,6.8
2020-01-31,11562.0,3777.0,208.0,36.0,138.0,274.8,33.3,44.3,7.3
2020-02-01,10709.0,3513.0,164.0,51.0,128.0,281.5,36.0,51.8,8.5
2020-02-02,10618.0,3601.0,198.0,54.0,127.0,264.5,25.9,42.5,7.9
2020-02-03,11005.0,3766.0,161.0,47.0,132.0,269.8,32.5,45.3,8.1
2020-02-04,11159.0,3704.0,207.0,30.0,133.0,282.9,33.2,42.4,5.7
2020-02-05,10776.0,3397.0,200.0,60.0,129.0,278.2,30.5,40.2,6.6
2020-02-06,11366.0,3726.0,225.0,56.0,136.0,264.4,44.8,44.5,8.2
2020-02-07,11303.0,3698.0,201.0,63.0,135.0,275.3,34.6,45.9,5.9
2020-02-08,11586.0,3990.0,146.0,42.0,139.0,266.0,30.4,45.7,13.2
2020-02-09,11157.0,4184.0,176.0,57.0,134.0,265.4,32.4,51.4,6.6
2020-02-10,11647.0,3877.0,230.0,63.0,140.0,277.9,29.4,40.4,4.9
2020-02-11,11801.0,4357.0,192.0,35.0,142.0,267.6,32.3,47.4,4.3
2020-02-12,11191.0,3419.0,182.0,75.0,134.0,285.9,35.4,47.4,8.2
2020-02-13,11523.0,4075.0,164.0,62.0,138.0,268.0,32.5,44.1,5.4
2020-02-14,11286.0,3939.0,198.0,44.0,135.0,270.8,25.0,47.5,6.7
2020-02-15,11575.0,3969.0,191.0,66.0,139.0,276.4,31.3,41.7,5.1
2020-02-16,12446.0,3989.0,184.0,41.0,149.0,291.7,31.1,36.7,4.1
2020-02-17,11666.0,4096.0,143.0,54.0,140.0,275.0,27.0,40.9,3.8
2020-02-18,11320.0,4042.0,200.0,52.0,136.0,284.2,29.3,44.3,8.1
2020-02-19,11352.0,4103.0,179.0,40.0,136.0,293.9,26.3,43.2,6.2
2020-02-20,11507.0,3637.0,165.0,71.0,138.0,293.3,32.3,45.4,7.1
2020-02-21,11697.0,3590.0,158.0,43.0,140.0,253.2,24.3,46.8,5.0
2020-02-22,11445.0,3617.0,190.0,55.0,137.0,271.0,22.9,50.7,7.7
2020-02-23,11089.0,3486.0,182.0,47.0,133.0,290.4,37.5,45.6,5.7
2020-02-24,11868.0,4147.0,173.0,55.0,142.0,270.4,21.7,42.6,9.0
2020-02-25,11803.0,3341.0,154.0,57.0,141.0,279.9,21.7,41.8,5.7
2020-02-26,11579.0,3631.0,145.0,62.0,139.0,268.6,27.9,42.3,7.0
2020-02-27,11100.0,3362.0,195.0,60.0,133.0,262.5,19.3,41.5,10.0
2020-02-28,11674.0,4272.0,171.0,44.0,140.0,270.4,28.8,38.5,2.9
2020-02-29,11932.0,4015.0,185.0,72.0,143.0,249.8,34.2,43.6,5.4
2020-03-01,11862.0,3544.0,186.0,70.0,142.0,271.2,22.3,43.3,4.5
2020-03-02,11408.0,3748.0,154.0,72.0,136.0,281.4,21.1,38.4,6.7
2020-03-03,11700.0,3981.0,191.0,69.0,139.0,275.3,21.0,38.5,3.6
2020-03-04,12067.0,3670.0,185.0,43.0,144.0,255.9,16.2,43.8,4.7
2020-03-05,11972.0,3585.0,197.0,79.0,142.0,277.2,28.0,43.3,6.2
2020-03-06,11553.0,3671.0,192.0,64.0,137.0,284.8,31.6,42.8,5.0
2020-03-07,12220.0,3685.0,191.0,55.0,145.0,273.4,23.9,41.8,6.0
2020-03-08,12039.0,3528.0,210.0,39.0,143.0,266.6,22.2,47.1,6.3
2020-03-09,11899.0,3820.0,163.0,61.0,141.0,269.1,20.6,34.7,3.3
2020-03-10,12206.0,3907.0,191.0,69.0,145.0,278.1,27.6,42.1,4.2
2020-03-11,11933.0,3842.0,157.0,71.0,141.0,258.0,19.9,39.8,4.1
2020-03-12,11630.0,3555.0,183.0,72.0,137.0,261.0,19.3,41.2,2.8
2020-03-13,11809.0,3773.0,195.0,50.0,139.0,287.6,19.8,41.3,3.2
2020-03-14,11901.0,3510.0,143.0,61.0,140.0,270.4,33.3,39.4,4.8
2020-03-15,11605.0,3285.0,185.0,64.0,137.0,281.4,24.1,41.8,5.3
2020-03-16,11741.0,3675.0,182.0,62.0,138.0,262.3,20.0,40.7,3.5
2020-03-17,12006.0,4037.0,232.0,67.0,141.0,268.3,19.9,40.5,3.6
2020-03-18,12057.0,3743.0,213.0,59.0,141.0,273.4,22.0,37.8,4.5
2020-03-19,11741.0,3989.0,179.0,69.0,137.0,263.5,13.6,45.6,6.4
2020-03-20,11888.0,3698.0,197.0,72.0,139.0,274.5,20.7,34.5,4.0
2020-03-21,12312.0,4020.0,195.0,68.0,144.0,262.5,21.2,36.0,5.5
2020-03-22,12189.0,3815.0,150.0,70.0,142.0,250.8,6.6,41.2,3.5
2020-03-23,12164.0,4017.0,147.0,75.0,141.0,256.1,16.6,40.4,3.8
2020-03-24,12014.0,3449.0,186.0,67.0,139.0,251.5,13.7,41.8,-0.3
2020-03-25,12514.0,4146.0,181.0,53.0,145.0,255.4,19.4,42.0,1.3
2020-03-26,11424.0,3065.0,137.0,71.0,132.0,241.5,13.1,39.1,2.8
2020-03-27,11646.0,3338.0,182.0,52.0,134.0,276.6,16.1,35.6,4.4
2020-03-28,11319.0,3243.0,174.0,61.0,130.0,275.3,5.7,36.5,3.4
2020-03-29,11703.0,3334.0,212.0,74.0,134.0,264.4,15.0,36.2,3.0
2020-03-30,11587.0,3651.0,161.0,52.0,133.0,261.7,20.7,39.3,3.1
2020-03-31,11694.0,3709.0,179.0,76.0,134.0,278.7,12.2,41.9,1.2
2020-04-01,12165.0,3083.0,156.0,43.0,139.0,261.4,16.0,39.4,3.2
2020-04-02,12130.0,3637.0,215.0,69.0,138.0,245.0,18.5,33.1,-1.0
2020-04-03,11763.0,3435.0,166.0,45.0,134.0,264.4,14.4,32.8,1.3
2020-04-04,12280.0,3377.0,179.0,68.0,139.0,262.2,10.5,32.5,3.0
2020-04-05,11628.0,3539.0,191.0,73.0,132.0,252.7,7.3,40.2,3.7
2020-04-06,12583.0,3733.0,217.0,78.0,142.0,253.3,11.7,37.2,1.7
2020-04-07,11549.0,3126.0,148.0,60.0,130.0,261.0,12.6,38.0,0.8
2020-04-08,12250.0,3544.0,183.0,70.0,138.0,236.7,16.0,33.1,6.0
2020-04-09,11940.0,3324.0,132.0,76.0,134.0,262.0,18.9,40.5,1.5
2020-04-10,12664.0,3817.0,220.0,72.0,142.0,248.1,4.5,40.9,1.9
2020-04-11,12332.0,3505.0,201.0,76.0,138.0,259.8,12.7,36.6,-0.8
2020-04-12,11780.0,3521.0,196.0,72.0,131.0,245.5,12.0,30.3,3.7
2020-04-13,12194.0,3865.0,225.0,72.0,135.0,250.3,7.2,37.5,2.7
2020-04-14,11965.0,3321.0,129.0,79.0,132.0,252.0,16.2,35.4,1.0
2020-04-15,12073.0,3178.0,173.0,70.0,133.0,245.0,13.9,37.9,1.0
2020-04-16,12028.0,3595.0,194.0,54.0,132.0,254.2,14.2,36.4,1.8
2020-04-17,12339.0,3268.0,177.0,72.0,136.0,275.1,5.8,39.1,2.4
2020-04-18,11846.0,3498.0,177.0,70.0,130.0,256.0,4.5,32.2,-0.5
2020-04-19,12557.0,3282.0,238.0,63.0,137.0,257.4,9.7,34.1,4.0
